,Title,Platform,Publisher,Developer,VGC_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release,Last_Update
302,"Time Gentlemen, Please!",PC,Zombie Cow Studios,Zombie Cow Studios,N/A,8.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Jun 09,N/A
303,TiME K,XBL,Unknown,team GARAGE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
304,Time Killers,GEN,Black Pearl,Incredible Technologies,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96,N/A
305,Time Lord,NES,Milton Bradley,Rare Ltd.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Sep 90,N/A
306,Time Mysteries: The Final Enigma,PC,Big Fish Games,Big Fish Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Jan 13,N/A
307,Time of Defiance,PC,Strategy First,Nicely Crafted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Sep 04,N/A
308,Time of Fury,PC,Slitherine Software,Slitherine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Nov 11,N/A
309,Time of War,PC,Unknown,Oniric Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 70,N/A
310,Time Pilot,2600,Coleco,Konami,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 83,N/A
311,Time Pilot,XBL,Konami,Digital Eclipse,N/A,5.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Aug 06,N/A
312,Time Soldiers,MS,Sega,Alpha Denshi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 88,N/A
313,Time Stalkers,DC,Sega,Climax Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Sep 99,N/A
314,Time To Escape,And,Unknown,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Sep 14,N/A
315,Time Twist: Rekishi no Katasumi de... (FDS),NES,Nintendo,Pax Softnica,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th Jul 91,N/A
316,Time Warp,2600,Unknown,Zellers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
317,Timeball,PCE,Turbo Technologies,Hudson Soft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 90,N/A
318,Timelapse,PC,GTE Entertainment,GTE Interactive Media,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Sep 96,N/A
319,TimeO,PS3,Unknown,ZootFly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
320,TimeO,X360,Unknown,ZootFly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
321,TimeO,Wii,Unknown,ZootFly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
322,Timequest,PC,Unknown,Legend Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
323,Times of Lore,NES,TOHO,Origin Systems,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st May 91,N/A
324,Times of Lore,PC,Origin Systems,Origin Systems,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 89,N/A
325,TimeSplitters 4,PS3,Unknown,Free Radical Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
326,Tin Soldiers: Julius Caesar,PC,Matrix Games,Koios Works,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Apr 05,N/A
327,Tin Star,SNES,Nintendo,Software Creations,N/A,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Nov 94,N/A
328,Tingle no Balloon Fight DS,DS,Nintendo,Vanpool,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Apr 07,N/A
329,Tinhead,GEN,Ballistic,MicroProse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93,N/A
330,Tintin in Tibet,SNES,Infogrames,Infogrames,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14th Dec 95,N/A
331,Tintin in Tibet,GB,Infogrames,Infogrames,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 95,N/A
332,Tintin in Tibet,GEN,Infogrames,Infogrames,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 95,N/A
333,Tintin in Tibet,GG,Infogrames,Infogrames,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 95,N/A
334,Tintin in Tibet,MS,Unknown,Infogrames,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
335,Tintin in Tibet,PC,Infogrames,Infogrames,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 94,N/A
336,Tintin in Tibet (GBC),GB,Infogrames,Bit Managers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd Dec 01,N/A
337,Tintin: Prisoner of the Sun,GB,Infogrames,Bit Managers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,08th Sep 00,N/A
338,Tintin: Prisoners of the Sun,SNES,Infogrames,Infogrames,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 97,N/A
339,Tiny Barbarian DX,PC,Unknown,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd Dec 13,N/A
340,Tiny Brains,PC,505 Games,Spearhead Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Dec 13,N/A
341,Tiny Brains,PS3,505 Games,Spearhead Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07th Jan 14,N/A
342,Tiny Brains,PS4,505 Games,Spearhead Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd Dec 13,N/A
343,Tiny Bullets,PS,Sony Computer Entertainment,Contrail,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Apr 00,N/A
344,Tiny Dice Dungeon,And,Kongregate,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th May 14,N/A
345,Tiny Dungeon: Birth for Yours,PC,Unknown,Rosebleu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Jul 11,N/A
346,Tiny Games - Knights & Dragons,3DS,"Reactor, Inc.",Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st May 14,N/A
347,Tiny Token Empires,PSN,Unknown,BiP media,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
348,Tiny Toon Adventures,NES,Konami,Konami,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 91,N/A
349,Tiny Toon Adventures 2: Montana's Movie Madness,GB,Konami,Konami,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Nov 93,N/A
350,Tiny Toon Adventures 2: Trouble in Wackyland,NES,Konami,Konami,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Apr 93,N/A
351,Tiny Toon Adventures: ACME All-Stars,GEN,Konami,Konami,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 94,N/A
352,Tiny Toon Adventures: Babs' Big Break,GB,Konami,Konami,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Feb 92,N/A
353,Tiny Toon Adventures: Buster and the Beanstalk,PC,Unknown,Terraglyph Interactive Studios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96,N/A
354,Tiny Toon Adventures: Buster Busts Loose!,SNES,Konami,Konami,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Feb 93,N/A
355,Tiny Toon Adventures: Buster Saves the Day,GB,Conspiracy Entertainment,Warthog,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Jul 01,N/A
356,Tiny Toon Adventures: Buster's Hidden Treasure,GEN,Konami,Konami,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93,N/A
357,Tiny Toon Adventures: Cartoon Workshop,NES,Konami,Novotrade,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 92,N/A
358,Tiny Toon Adventures: Dizzy's Candy Quest,GB,Conspiracy Entertainment,Formula,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 01,N/A
359,Tiny Toon Adventures: Scary Dreams,GBA,Conspiracy Entertainment,"Treasure Co., Ltd.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 06,N/A
360,Tiny Toon Adventures: Wacky Sports,GB,Konami,Konami,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 94,N/A
361,Tiny Toon Adventures: Wacky Sports Challenge,SNES,Konami,Konami,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 94,N/A
362,Tiny Toons: Defenders of the Universe,PS2,Unknown,"Treasure Co., Ltd.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
363,Tiny Touchdown,And,Fat Fish Games,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Mar 14,N/A
364,Tiny Troopers Joint Ops,PS4,Unknown,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Nov 14,N/A
365,Tiny Troopers Joint Ops,PSV,Unknown,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Nov 14,N/A
366,Tiny Troopers Joint Ops,PS3,Unknown,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Nov 14,N/A
