Title,Publisher,Developer,Release,Sales
Ratchet & Clank,Sony Computer Entertainment,Insomniac Games,04-11-2002,26.0
Rayman,Ubisoft,Ubisoft,19-09-1995,26.0
Mario & Sonic at the Olympic Games,Sega,Sega,06-11-2007,25.67
Farming Simulator,Astragon,Giants Software,14-04-2008,25.0
Puyo Puyo,THQ,Compile,11-02-2002,25.0
Tiger Woods PGA Tour,EA Sports,EA Redwood Shores,31-08-1998,25.0
Batman: Arkham,Warner Bros. Interactive Entertainment,Rocksteady Studios,25-08-2009,24.81
Tales of,Namco,Bandai Namco Studios,30-09-1998,24.36
Petz,Unknown,PF Magic,,24.0
The Last of Us,Sony Computer Entertainment,Naughty Dog,14-06-2013,24.0
Jikkyo Powerful Pro Yakyu,Konami,Konami,11-03-1994,23.5
Devil May Cry,Capcom,Capcom,16-10-2001,23.0
Football Manager,Sega,Sports Interactive,05-11-2004,23.0
Gears of War,Microsoft Game Studios,Epic Games,07-11-2006,23.0
Yu-Gi-Oh!,Unknown,Konami,,21.8
Castlevania,Konami,Konami,26-09-1986,21.63
Dynasty Warriors,Unknown,Omega Force,,21.0
Imagine,Ubisoft,Ubisoft,01-10-2007,21.0
Frogger,Konami,Konami,23-10-1981,20.0
Gundam,Unknown,Banpresto,,20.0
Lemmings,Psygnosis,DMA Design,14-02-1991,20.0
Naruto: Ultimate Ninja,Bandai Namco Entertainment,CyberConnect2,26-06-2006,20.0
Prince of Persia,Broderbund,Broderbund,03-08-1989,20.0
Rayman Raving Rabbids,Ubisoft,Ubisoft,19-11-2006,20.0
SimCity,Maxis,Maxis,02-02-1989,20.0
Simple,Unknown,Bandai Namco Studios,,20.0
SingStar,Unknown,London Studios,,20.0
Sniper Elite,Namco,Rebellion Developments,18-10-2005,20.0
SpongeBob SquarePants,THQ,Vicarious Visions,15-03-2001,20.0
Spyro,Sony Computer Entertainment,Insomniac Games,10-09-1998,20.0
Tom Clancy's The Division,Ubisoft,Massive Entertainment,08-03-2016,20.0
Watch Dogs,Unknown,Ubisoft,,20.0
StarCraft,Blizzard Entertainment,Blizzard Entertainment,31-03-1998,19.1
Super Robot Wars,Bandai,Banpresto,20-04-1991,19.1
Teenage Mutant Ninja Turtles,Konami,Konami,12-05-1989,19.1
Driver,GT Interactive,Ubisoft Reflections,30-06-1999,19.0
WarCraft,Unknown,Blizzard Entertainment,,19.0
Luigi's Mansion,Nintendo,Nintendo,18-11-2001,18.79
Midnight Club,Rockstar Games,Rockstar San Diego,26-10-2000,18.5
RollerCoaster Tycoon,Hasbro Interactive,Chris Sawyer Productions,22-03-1999,17.23
The Lord of the Rings,Unknown,Beam Software,,17.17
Professor Layton,Nintendo,Level-5,10-02-2008,17.0
Zuma,PopCap Games,Oberon Media,12-12-2003,17.0
Splatoon,Nintendo,Nintendo,29-05-2015,16.85
Hitman,Eidos Interactive,IO Interactive,21-11-2000,16.59
Ace Combat,Namco,Namco,09-09-1995,16.5
Pokemon Mystery Dungeon,Nintendo,Chunsoft,18-09-2006,16.5
Mass Effect,Microsoft Game Studios,BioWare,20-11-2007,16.0
Naruto: Ultimate Ninja Storm,Unknown,CyberConnect2,,15.66
Mario Tennis,Nintendo,Nintendo,14-08-1995,15.24
Backyard Sports,Humongous Entertainment,Humongous Entertainment,01-01-1997,15.0
Barbie,Unknown,Imagineering,,15.0
Burnout,Acclaim Entertainment,Criterion Games,01-11-2001,15.0
Famista,Namco,Namco,10-12-1986,15.0
Gex,BMG Interactive Entertainment,Crystal Dynamics,01-04-1995,15.0
Just Cause,Eidos Interactive,Avalanche Studios,27-09-2006,15.0
SoulCalibur,Namco,Project Soul,20-12-1996,15.0
Momotaro Dentetsu,Hudson Soft,Hudson Soft,02-12-1988,14.5
Everybody's Golf,Sony Computer Entertainment,Camelot Software,30-04-1998,14.19
Dead Island,Unknown,Techland,,14.0
Dead Rising,Capcom,Capcom,08-08-2006,14.0
Mafia,Unknown,Illusion Softworks,,14.0
Yakuza,Sega,Sega,05-09-2006,14.0
Yo-kai Watch,Nintendo,Level 5,06-11-2015,14.0
Metroid,Nintendo,Nintendo,15-08-1987,13.9
Guild Wars,NCSoft,ArenaNet,26-04-2005,13.5
Persona,Atlus,Atlus,01-11-1996,13.1
Paper Mario,Nintendo,Intelligent Systems,05-02-2001,13.03
ARMA,505 Games,Bohemia Interactive,04-05-2007,13.0
Scribblenauts,Warner Bros. Interactive Entertainment,5th Cell,15-09-2009,13.0
Fable,Microsoft Game Studios,Big Blue Box,14-09-2004,12.58
Myst,Broderbund,"Cyan, Inc.",24-09-1993,12.5
Metro,Unknown,4a-games,,12.2
Mario & Luigi,Nintendo,AlphaDream,17-11-2003,12.15
Wario,Nintendo,Nintendo,13-03-1994,12.13
Cooking Mama,Majesco Entertainment,Cooking Mama Limited,12-09-2006,12.0
Jak and Daxter,Sony Computer Entertainment,Naughty Dog,03-12-2001,12.0
Left 4 Dead,Valve,Valve,17-11-2008,12.0
SOCOM,Sony Computer Entertainment,Zipper Interactive,27-08-2002,12.0
The Room,Unknown,Fireproof Games,,11.6
Max Payne,Unknown,Remedy Entertainment,,11.5
Dragon Age,Unknown,BioWare,,11.2
Wii Party,Nintendo,NDcube,03-10-2010,11.13
Dragon Ball Xenoverse,Bandai Namco Games,Dimps Corporation,24-02-2015,11.04
Bomberman,Unknown,Hudson Soft,,11.0
Dance Dance Revolution,Konami,Konami,26-09-1998,11.0
Sniper: Ghost Warrior,Unknown,CI Games,,11.0
Rocket League,Psyonix,Psyonix,07-07-2015,10.5
Tomodachi,Nintendo,Nintendo,06-06-2014,10.39
Star Fox,Nintendo,Nintendo,26-03-1993,10.27
SaGa,Sunsoft,Square,30-09-1990,10.1
Buzz!,Sony Computer Entertainment Europe,Relentless Software,21-10-2005,10.0
Horizon,Sony Interactive Entertainment,Guerrilla Games,28-02-2017,10.0
Killing Floor,Tripwire Interactive,Tripwire Interactive,14-05-2009,10.0
MX vs. ATV,Unknown,Rainbow Studios,,10.0
Nobunaga's Ambition,KOEI,Koei,01-03-1983,10.0
Pitfall,Activision,Activision,20-04-1982,10.0
Stardew Valley,Chucklefish,ConcernedApe,26-02-2016,10.0
Taiko no Tatsujin,Namco,Bandai Namco Studios,26-10-2004,10.0
The Settlers,Blue Byte,Blue Byte,30-06-1993,10.0
The Binding of Isaac,Unknown,Edmund McMillen,,9.93
Mario Golf,Nintendo,Nintendo,29-09-1991,9.87
Marvel vs. Capcom,Capcom,Capcom,01-12-1996,9.8
Dead or Alive,Tecmo,Team Ninja,31-03-1998,9.7
Carnival Games,Global Star Software,Cat Daddy Games,27-08-2007,9.5
Big Brain Academy,Unknown,Nintendo,,9.49
Payday,Daybreak Games,Overkill Software,18-10-2011,9.0
Silent Hill,Konami,Konami Computer Entertainment Tokyo,23-02-1999,9.0
The Experience,Ubisoft,Ubisoft,06-11-2010,9.0
Ninja Gaiden,Unknown,Tecmo,,8.72
Monument Valley,Unknown,Ustwo Games,,8.59
Onimusha,Capcom,Capcom,13-03-2001,8.4
Ace Attorney,Capcom,Capcom,12-10-2005,8.0
Inazuma Eleven,Level 5,Level 5,22-08-2008,8.0
Kinect Sports,Microsoft Game Studios,Rare,09-10-2010,8.0
Moto Racer,Electronic Arts,SK Software International,03-09-1997,8.0
Unreal,GT Interactive,Epic Games,22-05-1998,8.0
Romance of the Three Kingdoms,KOEI,Koei,10-12-1985,7.8
Magicka,Unknown,Arrowhead Game Studios,,7.66
Jurassic Park,Ocean Software,Ocean Software,28-12-1993,7.57
Crysis,Electronic Arts,Crytek,13-11-2007,7.5
Baldur's Gate,Interplay Entertainment Corp.,BioWare,31-07-2000,7.47
Trine,Unknown,Frozenbyte,,7.39
Ark,Studio Wildcard,Studio Wildcard,27-08-2017,7.26
Oddworld,GT Interactive,Oddworld Inhabitants,19-09-1997,7.2
Megami Tensei,Atlus,Atlus,12-10-2004,7.2
DiRT,Unknown,Codemasters,,7.0
Mana,Square,Square,01-11-1991,7.0
Project Gotham Racing,Sega,Bizarre Creations,15-01-2001,7.0
Rugrats,THQ,Realtime Associates,29-06-1999,7.0
Samurai Warriors,KOEI,Omega Force,06-05-2004,7.0
